,locus,annotation_name1,nfxB_P,nfxB_Q,nfxB_Difference,Welch's T-test Test statistic delta_nfxB_wt,change
1198,PA2134,hypothetical protein,0.000907503,0.003259259,-2.002061367,-7.724349193,DOWN
1383,PA2570,LecA,0.001060144,0.003275168,-1.989078045,-6.246467821,DOWN
1104,PA1930,probable chemotaxis transducer,0.049094794,0.039631529,-1.983551502,-2.9686978,DOWN
2233,PA3876,nitrite extrusion protein 2,0.057812787,0.04625732,-1.950753212,-2.976879428,NOT
1313,PA2386,L-ornithine N5-oxygenase,0.043704763,0.035422267,-1.927482128,-3.067475425,DOWN
988,PA1707,regulatory protein PcrH,0.0010095,0.003412587,-1.923863888,-11.45735325,DOWN
309,PA0517,probable c-type cytochrome precursor,0.001791051,0.004285714,-1.846417904,-9.47419672,DOWN
985,PA1688,hypothetical protein,0.306683733,0.285256629,-1.834427834,-1.228591726,NOT
2546,PA4384,hypothetical protein,0.109746832,0.090334225,-1.820258617,-2.20473883,NOT
580,PA0999,3-oxoacyl-[acyl-carrier-protein] synthase III,0.001741948,0.004368932,-1.814149857,-5.464457062,DOWN
1318,PA2395,PvdO,0.213587111,0.189528989,-1.751610756,-1.394534539,NOT
2902,PA4873,probable heat-shock protein,0.196113186,0.170282999,-1.744098186,-1.654846953,NOT
1235,PA2185,non-heme catalase KatN,0.003670481,0.005887789,-1.744071007,-6.833599003,DOWN
310,PA0518,cytochrome c-551 precursor,0.000119761,0.001953488,-1.740511417,-16.40777588,DOWN
471,PA0813,hypothetical protein,0.055583622,0.04429883,-1.737744331,-3.037012949,NOT
1322,PA2400,PvdJ,0.000250048,0.001333333,-1.735131741,-8.447118723,DOWN
319,PA0534,FAD-dependent oxidoreductase,0.006967421,0.008243902,-1.710922241,-5.518507522,DOWN
2566,PA4409,cell division protein FtsQ,0.152307809,0.128840023,-1.696016788,-1.850612902,NOT
2997,PA5021,probable sodium/hydrogen antiporter,0.071485593,0.056814046,-1.691426277,-2.656400443,NOT
2432,PA4227,transcriptional regulator PchR,0.097002404,0.079465165,-1.673594952,-2.085401592,NOT
1200,PA2138,Multifunctional non-homologous end joining protein LigD,0.263630542,0.240786357,-1.667796135,-1.371619888,NOT
326,PA0543,hypothetical protein,0.298032654,0.276392371,-1.6387043,-1.255084193,NOT
1211,PA2156,conserved hypothetical protein,0.04799138,0.038870317,-1.637923241,-3.224231486,DOWN
1729,PA3113,N-(5'phosphoribosyl)anthranilate (PRA) isomerase,0.302989712,0.281186456,-1.633685589,-1.140409941,NOT
1439,PA2651,conserved hypothetical protein,0.159659782,0.135144324,-1.629095078,-1.850806831,NOT
1334,PA2433,hypothetical protein,0.000168949,0.001714286,-1.625027657,-8.440775729,DOWN
1221,PA2166,hypothetical protein,0.000627825,0.002254545,-1.597669125,-6.840594395,DOWN
1130,PA1990,PqqH,0.033876183,0.027420753,-1.583252907,-2.933538532,DOWN
1690,PA3061,PelD,0.213329224,0.189135524,-1.58212924,-1.392979054,NOT
1224,PA2171,hypothetical protein,0.000274181,0.001272727,-1.553369999,-8.885080169,DOWN
1465,PA2711,probable periplasmic spermidine/putrescine-binding protein,0.03115145,0.025968637,-1.545169353,-3.379971358,DOWN
1923,PA3421,conserved hypothetical protein,0.095616503,0.077756374,-1.497498989,-2.160375921,NOT
379,PA0617,probable bacteriophage protein,0.015989285,0.014459504,-1.494653225,-4.652345408,DOWN
1601,PA2944,cobalamin biosynthetic protein CobN,0.082354893,0.068346768,-1.480237484,-2.46087646,NOT
487,PA0848,alkyl hydroperoxide reductase,0.409129331,0.395722837,-1.442103863,-0.957046301,NOT
2817,PA4739,conserved hypothetical protein,0.000306498,0.002028986,-1.429234982,-13.72577974,DOWN
2353,PA4063,hypothetical protein,0.045069267,0.036762093,-1.424706459,-3.182643569,DOWN
2912,PA4890,DesT,0.410421342,0.39737541,-1.42001009,-0.953958687,NOT
2516,PA4338,hypothetical protein,0.00307077,0.005161765,-1.418515205,-6.868304628,DOWN
1206,PA2147,catalase HPII,0.000543355,0.001939394,-1.411324501,-10.61884918,DOWN
43,PA0063,hypothetical protein,0.362295995,0.344027304,-1.406177998,-1.071060568,NOT
415,PA0713,hypothetical protein,0.232010889,0.209141429,-1.40147686,-1.487444747,NOT
2501,PA4317,hypothetical protein,0.034643925,0.028130778,-1.401353359,-3.625279886,DOWN
2341,PA4051,thiamine monophosphate kinase,0.252789094,0.228601634,-1.389883041,-1.40590253,NOT
723,PA1209,hypothetical protein,0.011112571,0.010938462,-1.385597229,-4.601914292,DOWN
1845,PA3274,hypothetical protein,0.00498014,0.006442577,-1.378833771,-4.498588241,DOWN
2878,PA4838,hypothetical protein,0.31852104,0.297509769,-1.376400471,-1.08773914,NOT
1920,PA3417,probable pyruvate dehydrogenase E1 component,0.003995758,0.006069841,-1.365828991,-5.219377889,DOWN
1406,PA2609,hypothetical protein,0.056583083,0.045260714,-1.349108696,-2.935387123,NOT
2404,PA4175,protease IV,0.022000673,0.018617564,-1.340020657,-3.232786427,DOWN
1786,PA3190,probable binding protein component of ABC sugar transporter,0.000564232,0.001864078,-1.337277889,-9.461043391,DOWN
1160,PA2040,Glutamylpolyamine synthetase,0.085059056,0.069790419,-1.334148407,-2.430607124,NOT
1213,PA2158,probable alcohol dehydrogenase (Zn-dependent),4.12E-05,0,-1.316665649,-11.99129317,DOWN
292,PA0496,conserved hypothetical protein,8.78E-08,0,-1.313149452,-31.82960527,DOWN
1829,PA3254,probable ATP-binding component of ABC transporter,0.167277147,0.142473419,-1.309386253,-1.80584952,NOT
1714,PA3094,probable transcriptional regulator,0.161303529,0.137484091,-1.297964573,-1.848101763,NOT
1125,PA1983,cytochrome c550,0.077813241,0.064124417,-1.292060375,-2.562539723,NOT
706,PA1181,conserved hypothetical protein,0.128058054,0.10805293,-1.266577244,-2.02489835,NOT
1234,PA2184,conserved hypothetical protein,0.000119133,0.002,-1.262075901,-8.814041011,DOWN
1226,PA2173,hypothetical protein,0.003193837,0.005201413,-1.254780293,-7.517238846,DOWN
806,PA1384,UDP-glucose 4-epimerase,0.027718879,0.023704459,-1.248703957,-3.942370047,DOWN
3312,PA5481,hypothetical protein,0.001320746,0.004701754,-1.246109486,-11.46654694,DOWN
747,PA1274,conserved hypothetical protein,0.135293017,0.114389674,-1.239703178,-1.956031634,NOT
3218,PA5329,conserved hypothetical protein,0.143013335,0.120715486,-1.211791992,-1.775387668,NOT
791,PA1349,conserved hypothetical protein,0.059653606,0.047383275,-1.203278542,-2.866102846,NOT
2200,PA3828,Lipopolysaccharide export system permease protein LptF,0.142926928,0.12078125,-1.202270031,-1.868260004,NOT
742,PA1264,probable transcriptional regulator,0.239061672,0.216601578,-1.191742897,-1.459571277,NOT
3285,PA5438,probable transcriptional regulator,0.00153245,0.004393443,-1.187495708,-6.26563778,DOWN
804,PA1377,putative acetyltransferase,0.234883038,0.211878848,-1.18633008,-1.469231662,NOT
808,PA1396,probable two-component sensor,0.012984643,0.012896797,-1.186231136,-4.434697061,DOWN
2411,PA4190,probable FAD-dependent monooxygenase,0.015176218,0.014306914,-1.180165291,-4.058323418,DOWN
1327,PA2416,periplasmic trehalase precursor,0.000431514,0.002285714,-1.179364204,-6.975937355,DOWN
1575,PA2890,putative isohexenylglutaconyl-CoA hydratase,0.29555772,0.274233364,-1.175685406,-1.216587369,NOT
1539,PA2829,hypothetical protein,0.040142564,0.032882353,-1.164952755,-3.417460851,DOWN
150,PA0270,hypothetical protein,1.73E-05,0,-1.164531708,-15.30261404,DOWN
697,PA1166,hypothetical protein,0.000608087,0.002296296,-1.15870285,-6.692054306,DOWN
1201,PA2140,probable metallothionein,6.89E-05,0.002545455,-1.156757355,-9.875338789,DOWN
76,PA0103,probable sulfate transporter,0.14452996,0.121568534,-1.152025223,-1.961883139,NOT
1084,PA1863,molybdate-binding periplasmic protein precursor ModA,0.001853401,0.004507042,-1.138160229,-7.810488627,DOWN
209,PA0368,conserved hypothetical protein,0.065666329,0.052122822,-1.132605076,-2.82199315,NOT
1182,PA2109,hypothetical protein,0.000523092,0.002042553,-1.129404068,-6.883701286,DOWN
740,PA1251,probable chemotaxis transducer,0.193669715,0.168123208,-1.129256248,-1.473742325,NOT
582,PA1003,Transcriptional regulator MvfR,0.273096433,0.250772259,-1.1277771,-1.284412143,NOT
2107,PA3709,probable major facilitator superfamily (MFS) transporter,0.189386063,0.164740343,-1.125319004,-1.537409282,NOT
1199,PA2137,hypothetical protein,4.93E-05,0,-1.111062527,-12.78104888,DOWN
145,PA0262,VgrG2b,0.300798957,0.279171416,-1.109060049,-1.169550439,NOT
1216,PA2161,hypothetical protein,0.033372859,0.027423299,-1.10623312,-3.659938004,DOWN
1752,PA3140,hypothetical protein,0.008067095,0.009318386,-1.105872631,-5.190569037,DOWN
1324,PA2410,FpvF,0.000679394,0.002724138,-1.095140457,-13.04373847,DOWN
1207,PA2150,conserved hypothetical protein,0.001149418,0.004227848,-1.092194557,-6.535036543,DOWN
354,PA0585,hypothetical protein,0.087308788,0.071665433,-1.080861568,-2.394428075,NOT
2918,PA4914,transcriptional regulator,0.390070583,0.373004149,-1.077895641,-0.997134981,NOT
822,PA1425,probable ATP-binding component of ABC transporter,0.488838822,0.477587351,-1.07480216,-0.746537193,NOT
1717,PA3097,general secretion pathway protein K,0.040448531,0.033235602,-1.06368494,-3.253433324,DOWN
1202,PA2141,hypothetical protein,0.099567682,0.081403753,-1.057695389,-2.093680825,NOT
666,PA1121,YfiR,0.249293771,0.225361044,-1.056210041,-1.422953114,NOT
271,PA0460,hypothetical protein,0.001753162,0.004347826,-1.04756403,-9.592597422,DOWN
2163,PA3783,hypothetical protein,0.294832574,0.273353397,-1.046833992,-1.263244802,NOT
681,PA1142,probable transcriptional regulator,0.226076152,0.202068479,-1.046812534,-1.472434593,NOT
1520,PA2802,probable transcriptional regulator,0.187212208,0.162860528,-1.037004471,-1.692231748,NOT
1844,PA3273,hypothetical protein,0.000530019,0.002021053,-1.029476166,-6.799401812,DOWN
2006,PA3576,hypothetical protein,0.00156114,0.004299465,-1.020196438,-9.091327757,DOWN
1974,PA3520,putative periplasmic substrate binding protein,0.025873094,0.022615789,-1.017273426,-3.613415706,DOWN
1203,PA2142,probable short-chain dehydrogenase,4.38E-05,0,-1.007869244,-12.58725788,DOWN
2713,PA4600,transcriptional regulator NfxB,0.016518808,0.015111831,-1.007168293,-3.448540716,DOWN
2777,PA4692,conserved hypothetical protein,0.149894912,0.126209971,-1.003970146,-1.669768852,NOT
3264,PA5407,hypothetical protein,0.249527105,0.225480193,-1.003909826,-1.332073624,NOT
2209,PA3839,probable sodium:sulfate symporter,0.142499537,0.120898795,-0.996162891,-1.925893334,NOT
2433,PA4228,pyochelin biosynthesis protein PchD,0.091925248,0.074142754,-0.995697975,-2.22941427,NOT
2985,PA5008,WapP,0.476875508,0.465811966,-0.984567165,-0.809568183,NOT
2164,PA3785,putative copper binding protein,0.008142247,0.009256125,-0.982187748,-5.822996933,NOT
35,PA0051,potential phenazine-modifying enzyme,0.115309114,0.094969935,-0.972609997,-2.190703626,NOT
1276,PA2281,probable transcriptional regulator,0.2324052,0.209383234,-0.96723938,-1.357518798,NOT
3242,PA5359,hypothetical protein,0.001309477,0.004757396,-0.960496902,-5.849755434,NOT
2967,PA4975,NAD(P)H quinone oxidoreductase,0.370733704,0.352006754,-0.960417271,-1.05001128,NOT
304,PA0512,NirH,0.084690629,0.069867669,-0.960309029,-2.308026891,NOT
3271,PA5416,sarcosine oxidase beta subunit,0.137492688,0.115987797,-0.959158897,-1.744587243,NOT
2924,PA4922,azurin precursor,4.45E-05,0,-0.957275391,-10.69343517,NOT
2431,PA4226,dihydroaeruginoic acid synthetase,0.176206929,0.151487067,-0.953994274,-1.728672836,NOT
1166,PA2054,transcriptional regulator CynR,0.160292548,0.136047863,-0.949939728,-1.632706962,NOT
2300,PA3984,apolipoprotein N-acyltransferase,0.014363345,0.013469388,-0.945623875,-5.094774718,NOT
178,PA0315,hypothetical protein,0.000716156,0.00261157,-0.942389965,-6.864431191,NOT
311,PA0519,nitrite reductase precursor,5.98E-05,0.002625,-0.941495895,-9.980602654,NOT
2087,PA3688,hypothetical protein,0.002362837,0.004806867,-0.925006866,-5.038025699,NOT
470,PA0810,probable haloacid dehalogenase,0.015041603,0.014091371,-0.921022415,-3.638722029,NOT
1785,PA3187,probable ATP-binding component of ABC transporter,5.73E-07,0,-0.913702488,-23.84459148,NOT
313,PA0523,nitric-oxide reductase subunit C,0.000917682,0.003562044,-0.907574177,-6.097602269,NOT
500,PA0864,probable transcriptional regulator,0.064978577,0.051582638,-0.907473564,-2.729228898,NOT
1405,PA2608,conserved hypothetical protein,0.000637848,0.002234234,-0.903935432,-9.690697206,NOT
2101,PA3703,probable methylesterase,0.236186494,0.213458148,-0.900979996,-1.47262644,NOT
1904,PA3383,binding protein component of ABC phosphonate transporter,0.15273626,0.129282975,-0.893751621,-1.897587135,NOT
563,PA0965,Holliday junction resolvase RuvC,0.298863551,0.277121088,-0.891833782,-1.253242974,NOT
732,PA1235,probable transcriptional regulator,0.347643971,0.329429066,-0.890045643,-1.042033834,NOT
97,PA0144,hypothetical protein,0.012074968,0.012524954,-0.889703751,-4.367944001,NOT
104,PA0158,Resistance-Nodulation-Cell Division (RND) triclosan efflux transporter,0.001394645,0.004594286,-0.886114597,-7.13611912,NOT
3360,PA5560,ATP synthase A chain,0.024938282,0.02219407,-0.885995865,-3.986341801,NOT
2247,PA3902,hypothetical protein,0.008795383,0.009548387,-0.884991169,-5.677793565,NOT
3061,PA5108,hypothetical protein,0.009650257,0.009713115,-0.884941101,-4.837218115,NOT
1523,PA2809,two-component response regulator,0.256798903,0.232587786,-0.883430481,-1.377898901,NOT
2736,PA4628,lysine-specific permease,0.033547804,0.027512644,-0.882181644,-2.792093916,NOT
1296,PA2331,hypothetical protein,0.002466858,0.004666667,-0.876227379,-5.258997846,NOT
2519,PA4345,hypothetical protein,0.000278151,0.001253731,-0.873075008,-10.09664401,NOT
1223,PA2169,hypothetical protein,0.004637887,0.006397661,-0.872609615,-6.8606395,NOT
1180,PA2107,hypothetical protein,0.002677121,0.004908367,-0.866229534,-7.745972023,NOT
2141,PA3752,hypothetical protein,0.637043615,0.640405027,-0.864518881,-0.497193294,NOT
2401,PA4171,probable protease,0.005411225,0.006710027,-0.863886356,-6.867608647,NOT
1231,PA2180,hypothetical protein,0.007434524,0.008474419,-0.861031055,-5.451777028,NOT
1701,PA3078,CprS,0.011836043,0.012178439,-0.858154774,-4.367950282,NOT
351,PA0582,dihydroneopterin aldolase,5.25E-05,0,-0.85752058,-10.17896094,NOT
1947,PA3460,probable acetyltransferase,0.000248086,0.001354839,-0.856506348,-15.75135661,NOT
2906,PA4877,hypothetical protein,0.001510282,0.004441989,-0.856444836,-7.153008963,NOT
2211,PA3844,hypothetical protein,0.434082779,0.421300761,-0.85606432,-0.883309687,NOT
1684,PA3049,ribosome modulation factor,0.126984822,0.106855696,-0.853310108,-2.087415999,NOT
3236,PA5352,conserved hypothetical protein,0.267360051,0.243984941,-0.848638058,-1.34846791,NOT
2490,PA4304,RcpA,0.150750228,0.127201872,-0.848052502,-1.847776137,NOT
2436,PA4233,probable major facilitator superfamily (MFS) transporter,0.008810286,0.009527897,-0.847269535,-5.521071679,NOT
317,PA0532,hypothetical protein,0.25373038,0.229520154,-0.845995903,-1.296697711,NOT
490,PA0852,chitin-binding protein CbpD precursor,0.024132371,0.021710383,-0.842276096,-3.240635441,NOT
1906,PA3391,regulatory protein NosR,0.016144141,0.014690789,-0.840726376,-4.133689742,NOT
974,PA1676,hypothetical protein,0.071298518,0.0564928,-0.839259624,-2.655401465,NOT
3347,PA5538,N-acetylmuramoyl-L-alanine amidase,0.107736228,0.089048518,-0.834207058,-2.25669893,NOT
1505,PA2774,Tse4,0.235999771,0.213300942,-0.833703041,-1.317650333,NOT
2412,PA4193,probable permease of ABC transporter,0.280315994,0.258442379,-0.833610535,-1.312824947,NOT
422,PA0729,Pf4 inhibition toxin,8.09E-05,0.002333333,-0.829380989,-10.612011,NOT
1660,PA3015,hypothetical protein,0.230090736,0.207085714,-0.827180862,-1.481313785,NOT
3075,PA5124,two-component sensor NtrB,0.071533257,0.056899522,-0.824736595,-2.205847857,NOT
1220,PA2165,probable glycogen synthase,0.095381065,0.077520567,-0.824393749,-2.345857738,NOT
1225,PA2172,hypothetical protein,0.001981484,0.004579186,-0.820901394,-6.424956044,NOT
1639,PA2988,lipoprotein localization protein LolE,0.004491074,0.006172107,-0.818180084,-7.346478612,NOT
1151,PA2021,hypothetical protein,0.001376569,0.004647399,-0.81591177,-6.97314171,NOT
1468,PA2718,probable transcriptional regulator,0.222753753,0.198539201,-0.813640118,-1.425619996,NOT
1086,PA1869,Acp1,0.28214509,0.259998146,-0.807883739,-1.269208451,NOT
2726,PA4616,probable c4-dicarboxylate-binding protein,0.35073054,0.332017234,-0.80592823,-1.091721475,NOT
2151,PA3762,hypothetical protein,0.000375591,0.00243038,-0.804196358,-17.46817345,NOT
156,PA0285,cyclic di-GMP phosphodiesterase,0.495637721,0.486173144,-0.798095226,-0.773108757,NOT
1113,PA1946,binding protein component precursor of ABC ribose transporter,0.013237722,0.013088339,-0.794440269,-3.76327239,NOT
497,PA0861,RbDA,0.006769987,0.007617647,-0.793361187,-4.053604304,NOT
1679,PA3042,hypothetical protein,0.004497358,0.006319527,-0.791367531,-4.448941387,NOT
3318,PA5489,thiol:disulfide interchange protein DsbA,0.003133293,0.005294964,-0.788324833,-8.234365101,NOT
1106,PA1932,probable hydroxylase molybdopterin-containing subunit,3.27E-05,0,-0.788228035,-11.29148314,NOT
177,PA0314,L-cysteine transporter of ABC system FliY,0.001070266,0.003253333,-0.786112785,-6.155652368,NOT
1565,PA2874,hypothetical protein,0.00743604,0.008593968,-0.779520512,-4.162985255,NOT
2787,PA4703,hypothetical protein,0.004530978,0.006454277,-0.779315472,-4.422384104,NOT
2058,PA3649,MucP,0.007272444,0.008217494,-0.777123451,-4.301149339,NOT
2161,PA3778,probable transcriptional regulator,0.418781026,0.406043938,-0.771295071,-0.900790787,NOT
1097,PA1890,probable glutathione S-transferase,0.447698866,0.434134494,-0.770478725,-0.868390693,NOT
384,PA0624,hypothetical protein,0.456462523,0.443658805,-0.76417017,-0.824338545,NOT
951,PA1641,hypothetical protein,0.012672476,0.012873646,-0.761150837,-4.628572841,NOT
1019,PA1767,hypothetical protein,0.025685814,0.022535809,-0.756744385,-4.017036953,NOT
312,PA0520,regulatory protein NirQ,0.006261464,0.007415385,-0.755395412,-5.392985514,NOT
1793,PA3197,hypothetical protein,0.146004582,0.122993487,-0.753232479,-1.878240044,NOT
254,PA0426,Resistance-Nodulation-Cell Division (RND) multidrug efflux transporter MexB,0.005200871,0.006765027,-0.752720833,-6.981879172,NOT
544,PA0942,probable transcriptional regulator,0.47655727,0.465754277,-0.750346661,-0.810940686,NOT
1918,PA3415,probable dihydrolipoamide acetyltransferase,0.001862091,0.004485981,-0.748467445,-5.458265156,NOT
1087,PA1870,hypothetical protein,0.003445824,0.005553265,-0.746267796,-4.701679778,NOT
2409,PA4183,hypothetical protein,0.32479391,0.303910053,-0.743824959,-1.125302194,NOT
323,PA0540,hypothetical protein,0.003368619,0.00565035,-0.73818922,-5.274433147,NOT
894,PA1552,Cytochrome c oxidase,0.001551377,0.004345946,-0.738174915,-8.496075381,NOT
2554,PA4394,conserved hypothetical protein,0.00165305,0.004102041,-0.735789299,-7.581918707,NOT
825,PA1431,regulatory protein RsaL,0.004905773,0.006497175,-0.731566906,-6.955079587,NOT
3345,PA5529,probable sodium/proton antiporter,0.129668239,0.109197995,-0.731056213,-2.055193702,NOT
1637,PA2986,lipoprotein localization protein LolC,0.005875143,0.007216931,-0.730600834,-6.187633403,NOT
2425,PA4211,probable phenazine biosynthesis protein,0.008546112,0.009449782,-0.730323792,-4.20273918,NOT
1195,PA2123,probable transcriptional regulator,0.449379679,0.435886256,-0.725639343,-0.830151465,NOT
1114,PA1947,ribose transport protein RbsA,0.463111166,0.451707892,-0.7248559,-0.78359318,NOT
1749,PA3135,probable transcriptional regulator,0.219153781,0.194927226,-0.723382473,-1.43696222,NOT
2228,PA3865,putative periplasmic lysine-,0.013399913,0.013108772,-0.719204903,-4.869998818,NOT
1317,PA2393,putative dipeptidase,0.279676482,0.257870638,-0.718336105,-1.202933442,NOT
308,PA0516,heme d1 biosynthesis protein NirF,0.002641746,0.004967742,-0.716822624,-5.005309431,NOT
1302,PA2352,putative glycerophosphoryl diester phosphodiesterase,0.004720353,0.00649711,-0.715835571,-6.830708916,NOT
878,PA1526,probable transcriptional regulator,0.01175157,0.012059925,-0.713221073,-4.464984289,NOT
755,PA1287,probable glutathione peroxidase,0.007834935,0.009202733,-0.712944984,-5.350313539,NOT
2428,PA4222,probable ATP-binding component of ABC transporter,0.070649873,0.05597751,-0.710638046,-2.202698285,NOT
1849,PA3287,conserved hypothetical protein,0.215765448,0.191721597,-0.709096909,-1.544168955,NOT
1812,PA3227,peptidyl-prolyl cis-trans isomerase A,0.005356125,0.006728261,-0.70862484,-5.946079542,NOT
1828,PA3250,hypothetical protein,0.011916671,0.012252319,-0.705225468,-4.951619399,NOT
458,PA0788,hypothetical protein,0.006549677,0.007305211,-0.704916477,-6.159137799,NOT
2022,PA3610,polyamine transport protein PotD,0.000944381,0.003536232,-0.692628384,-8.800080254,NOT
994,PA1728,hypothetical protein,0.039044569,0.031953142,-0.689512253,-3.424130634,NOT
273,PA0462,hypothetical protein,0.000242905,0.001423729,-0.68813324,-7.975055408,NOT
478,PA0834,conserved hypothetical protein,0.186694219,0.162342672,-0.683145523,-1.675296455,NOT
1154,PA2024,probable ring-cleaving dioxygenase,0.001258716,0.004502994,-0.681470394,-8.550939181,NOT
162,PA0294,transcriptional regulator AguR,0.391446182,0.374089478,-0.675303459,-0.984794414,NOT
3275,PA5423,hypothetical protein,0.010759587,0.010771037,-0.670442104,-4.885706252,NOT
2668,PA4533,hypothetical protein,0.001952903,0.0046,-0.669278145,-5.538060949,NOT
266,PA0454,conserved hypothetical protein,0.000872375,0.002887218,-0.668801785,-6.131241666,NOT
659,PA1112,conserved hypothetical protein,0.00088199,0.002865672,-0.668787003,-6.962548667,NOT
1497,PA2759,hypothetical protein,0.313324999,0.292125056,-0.666530132,-1.120396066,NOT
2282,PA3956,hypothetical protein,0.013461258,0.013085814,-0.664127827,-3.787130693,NOT
604,PA1035,hypothetical protein,1.21E-05,0,-0.664021492,-19.14655408,NOT
1108,PA1934,hypothetical protein,0.131944307,0.111050932,-0.663059711,-1.779759753,NOT
290,PA0494,probable acyl-CoA carboxylase subunit,0.037117497,0.030330435,-0.661108017,-3.271538597,NOT
2268,PA3931,putative methionine-binding protein,0.009650794,0.009693252,-0.66074276,-3.81280941,NOT
285,PA0483,probable acetyltransferase,0.000667313,0.00219469,-0.65912056,-7.687184606,NOT
83,PA0122,rahU,0.003464964,0.00574744,-0.655780792,-7.555239772,NOT
1702,PA3079,hypothetical protein,0.064334498,0.051206723,-0.655468464,-2.697065572,NOT
2865,PA4798,hypothetical protein,0.30525931,0.283656166,-0.654661179,-1.182718213,NOT
2526,PA4358,FeoB,0.029953518,0.024982801,-0.654396057,-3.035572714,NOT
126,PA0196,pyridine nucleotide transhydrogenase,0.027235121,0.023101412,-0.64773035,-3.364263417,NOT
399,PA0656,probable HIT family protein,0.006883833,0.008146699,-0.646205425,-4.347404481,NOT
2696,PA4573,hypothetical protein,0.010554291,0.01079604,-0.64358902,-4.776614582,NOT
2786,PA4702,hypothetical protein,0.01552041,0.014395973,-0.643536091,-4.347160208,NOT
2105,PA3707,hypothetical protein,4.48E-05,0,-0.641360283,-12.89295678,NOT
1556,PA2856,lysophospholipase A,0.003711724,0.005868421,-0.638898373,-6.224500405,NOT
119,PA0179,probable two-component response regulator,0.004727677,0.00645977,-0.636913776,-4.482183034,NOT
201,PA0355,protease PfpI,0.000690046,0.002655462,-0.636160374,-13.16980603,NOT
1562,PA2868,hypothetical protein,0.013935701,0.013416235,-0.635364532,-4.003226318,NOT
532,PA0920,alanyl-phosphatidylglycerol synthase,0.025546477,0.022526596,-0.635262966,-3.3537179,NOT
40,PA0059,osmotically inducible protein OsmC,0.001545314,0.004369565,-0.630853176,-8.777571455,NOT
341,PA0565,conserved hypothetical protein,0.02285521,0.019517532,-0.630209446,-4.020647293,NOT
130,PA0210,malonate decarboxylase delta subunit,0.296663261,0.275222576,-0.626730442,-1.243454275,NOT
1700,PA3077,CprR,0.327421133,0.306653187,-0.626031876,-1.067558232,NOT
1907,PA3392,nitrous-oxide reductase precursor,2.63E-05,0,-0.6223526,-13.02327447,NOT
442,PA0763,anti-sigma factor MucA,0.159669532,0.135096921,-0.621399879,-1.840073685,NOT
1326,PA2414,L-sorbosone dehydrogenase,0.032989114,0.027195349,-0.620988369,-3.056192287,NOT
1246,PA2218,hypothetical protein,0.032205378,0.026706021,-0.619912624,-3.26325131,NOT
3176,PA5262,FimS,0.009349505,0.00953527,-0.617531776,-4.932363239,NOT
320,PA0535,transcriptional regulator,0.025482153,0.022442667,-0.617526054,-2.95596006,NOT
2773,PA4683,hypothetical protein,0.166217382,0.141410444,-0.616997719,-1.587826327,NOT
1458,PA2699,hypothetical protein,0.086621584,0.071236256,-0.611298561,-2.430810061,NOT
373,PA0605,AgtC,0.417105577,0.404425601,-0.609536171,-0.871287679,NOT
1549,PA2849,OhrR,0.002237111,0.004666667,-0.608136654,-7.47240164,NOT
423,PA0732,hypothetical protein,0.000581064,0.001828571,-0.606242657,-6.761316452,NOT
486,PA0847,diguanylate cyclase,0.004607929,0.006435294,-0.603675365,-4.401735921,NOT
